#sslii，yrycu，chs，hig1，mwos2五行，有兩個字擠在一行
#蒼頡六代內碼表，實際共71320行
日 a
暣 aond
昤 aoni
晗 aonr
㫓 aon1
&~aoog; aoog
&~aoos; aoos
&~aoos1; aoos1
匙 aop
晔 aopj
韪 aoqs
&~aor; aor
㬛 aors
&~aort; aort
&~aoru; aoru
&~aor1; aor1
昨 aos
&~aosbb; aosbb
㬋 aosk
昤 aosl
&~aoss; aoss
&~aotf; aotf
&~aowa; aowa
&~aowg; aowg
晦 aowj
晦 aowy
&~aoyk; aoyk
㫐 ap
㫬 apa
&~apbaa; apbaa
易 aphh
鶍 aphhz
昒 aphh1
剔 aphln
&~aphok; aphok
惖 aphp
&~aphp1; aphp1
敡 aphye
鹍 aphym
旳 api
昀 apim
&~apkp; apkp
旳 apm
昀 apmm
暅 apmm1
&~apmm2; apmm2
&~apmz; apmz
曷 apov
昆 app
鵾 apphz
&~appog; appog
&~app1; app1
昫 apr
&~aptd; aptd
旽 apu
&~apuu; apuu
鶡 apvhz
㔠 apvks
㓭 apvln
䫘 apvmz
歇 apvno
&~ap1; ap1
暑 aqa
暏 aqa1
晣 aqhl
暑 aqia
暏 aqia1
㬩 aqjp
暳 aqjs
暙 aqka
&~aqkk; aqkk
&~aqkq; aqkq
晴 aqmb
&~aqmc; aqmc
&~aqmj; aqmj
㫴 aqnd
㫙 aqo
&~aqp; aqp
&~aqpa; aqpa
&~aqsk; aqsk
&~arbuu; arbuu
&~ard; ard
照 arf
煦 arf1
&~arf2; arf2
&~arhg; arhg
㫛 arhu
&~arlu; arlu
冔 armd
㫽 arme
&~armg; armg
&~armo; armo
&~arr; arr
&~arrd; arrd
暺 arrj
曮 arrk
&~arrm; arrm
暇 arse
&~aru; aru
㬆 arua
&~arup; arup
&~asav; asav
㫶 asbb
&~asbe; asbe
&~asce; asce
㫽 ase
曯 asei
&~asev; asev
煚 asf
&~asf1; asf1
&~asf2; asf2
旫 ash
&~ashh; ashh
&~ashi; ashi
毾 ashqu
昭 ashr
晚 ashu
冕 ashu1
&~asil; asil
最 asje
&~asjj; asjj
朂 asjs
&~askr; askr
&~asmun; asmun
昵 asp
&~asp1; asp1
&~asrr; asrr
昛 ass
&~assa; assa
曜 assg
㬔 assh
&~asshz; asshz
&~assln; assln
&~assno; assno
&~ass1; ass1
暱 astr
&~asu; asu
&~asup; asup
㫒 at
&~ata; ata
暯 atak
&~atap; atap
晪 atbc
曚 atbo
晎 atc
暴 atce
謈 atcr
&~atehz; atehz
&~ateog; ateog
&~ateok; ateok
&~ateye; ateye
&~atgh; atgh
㬢 atgi
&~atgk; atgk
暛 atgm
曦 atgs
&~atgt; atgt
&~atgt1; atgt1
&~athf; athf
㼔 athio
㬒 atit
暪 atlb
曂 atlc
曣 atlf
&~atlj; atlj
暎 atlk
暵 atlo
曂 atmc
曄 atmj
曅 atmj1
&~atnk; atnk
㬦 atoe
㬮 atog
&~atog1; atog1
&~atog2; atog2
&~atoi; atoi
&~atol; atol
&~atoo; atoo
&~atpd; atpd
暛 atqm
&~atrg; atrg
曔 atrk
&~atv; atv
&~atw; atw
&~atwa; atwa
&~atwv; atwv
&~atys; atys
&~atyu; atyu
&~atz; atz
&~atz1; atz1
巴 au
暨 auam
㬞 auav
䐴 aub
䀈 aubt
&~auce; auce
㮣 aud
&~audhz; audhz
㫞 aue
&~auf; auf
&~aufd; aufd
&~aufe; aufe
塈 aug
&~aug1; aug1
毷 auhqu
鹛 auhym
&~auhz; auhz
&~auie; auie
&~auln; auln
&~aumm; aumm
&~aummm; aummm
暟 aumt
鱀 aunwf
&~auon; auon
&~aup; aup
&~aup1; aup1
&~auqm; auqm
&~aurl; aurl
&~aurn; aurn
巼 aurp
昢 auu
㬥 auud
㬧 auuf
曓 auuj
&~auur; auur
曓 auuz
岊 auu1
&~auu2; auu2
&~auye; auye
&~auymr; auymr
䇒 auyt
旵 au1
&~au2; au2
艮 av
&~avam; avam
㬎 avf
&~avfd; avfd
&~avfd1; avfd1
&~avff; avff
&~avfln; avfln
顯 avfmz
歞 avfno
&~avfs; avfs
垦 avg
&~avhml; avhml
毼 avhqu
鹖 avhym
䳛 avhz
&~avid; avid
&~avii; avii
&~avik; avik
&~avis; avis
&~avk; avk
&~avln; avln
&~avmk; avmk
&~avmq; avmq
䫀 avmz
恳 avp
&~avp1; avp1
曏 avvl
&~avvmz; avvmz
&~avvv; avvv
妟 av1
&~av2; av2
&~awb; awb
&~awd; awd
&~aweks; aweks
鄤 awenl
&~aweok; aweok
&~aweye; aweye
㬂 awib
曙 awla
曼 awle
曪 awlg
&~awli; awli
&~awli1; awli1
曎 awll
㬅 awls
&~awly; awly
&~awmv; awmv
㬈 awot
&~ax; ax
&~axbuu; axbuu
晲 axhu
&~axls; axls
&~axmz; axmz
&~axo; axo
&~ax1; ax1
&~ay; ay
㬌 ayaf
晫 ayaj
㒿 aybg
㬚 aybk
曨 aybp
昗 ayc
晈 ayck
&~ayc1; ayc1
暾 aydk
㬑 aydl
&~ayfd; ayfd
&~ayfhz; ayfhz
㔀 ayfln
顥 ayfmz
&~ayh; ayh
昉 ayhs
昘 ayhs1
&~ayic; ayic
&~ayiu; ayiu
&~ayiv; ayiv
旻 ayk
㬯 aykq
旼 ayk1
曃 ayle
㫔 aym
㬯 aynq
晬 ayoj
&~ayok; ayok
&~ayp; ayp
曥 aypt
&~ayr; ayr
暠 ayrb
&~ayrb1; ayrb1
㬀 ayrd
景 ayrf
晾 ayrf1
曩 ayrv
&~ays; ays
暆 aysd
㒾 aysd1
暶 ayso
昱 ayt
暗 ayta
曈 aytg
&~aytg1; aytg1
暲 aytj
&~aytmz; aytmz
&~aytv; aytv
&~ayt1; ayt1
&~ayub; ayub
&~ayv; ayv
昡 ayvi
&~ayvi1; ayvi1
晐 ayvo
&~ayvu; ayvu
&~ayvv; ayvv
&~aywm; aywm
&~ayx; ayx
曰 a1
月 b
㸓 ba
黽 baa
&~baaa; baaa
&~baae; baae
鄳 baanl
腽 babt
䫤 bacmz
鄍 bacnl
&~bad; bad
&~bag; bag
腥 bahm
&~bahu; bahu
䐚 bail
&~bak; bak
幂 bakb
胆 bam
腸 bamh
䏷 bamj
䐎 bamo
&~bam1; bam1
&~ban; ban
&~banb; banb
&~band; band
膶 bang
&~banh; banh
䑌 banw
&~banx; banx
&~bap; bap
䐊 bapp
&~bapv; bapv
&~bap1; bap1
&~bate; bate
肥 bau
&~bav; bav
&~bavf; bavf
&~bawe; bawe
冥 bayc
&~bayi; bayi
&~ba1; ba1
&~ba2; ba2
朋 bb
&~bbaa; bbaa
&~bbaa1; bbaa1
䯠 bbabt
䯜 bbaph
&~bbapv; bbapv
&~bbau; bbau
䯥 bbavf
骨 bbb
朤 bbbb
&~bbbbb; bbbbb
䯞 bbbbr
鶻 bbbhz
䯇 bbbks
&~bbbln; bbbln
&~bbbm; bbbm
&~bbbmr; bbbmr
顝 bbbmz
䯉 bbbno
&~bbbog; bbbog
腡 bbbr
覶 bbbuu
骽 bbbv
&~bbb1; bbb1
&~bbcd; bbcd
䯟 bbcmo
&~bbcms; bbcms
䑍 bbcv
